SKU;Marca;Producto;Categoria;Modelo;Origen;Talle;Temporada;Color;Tela;Precio;Imagen;Galeria
142;LDE;VESTIDO MOÑO CON TULL;Vestidos;2089;ARGENTINA ;;2018/2019;rosa;;1;T_5_front.jpg;T_5_back.jpg
143;LDE;VESTIDO FLORIADO BORDADO;Vestidos;2063;ARGENTINA ;;2018/2019;rosa;;1;T_5_front.jpg;T_5_back.jpg
144;LDE;SHORT DE JEANS C/ VOLADOS;Shorts;2044;ARGENTINA ;;2018/2019;rosa;;1;T_5_front.jpg;T_5_back.jpg
145;LDE;SHORT CAMUFLADO RUSTICO VARON;Shorts;2046;ARGENTINA ;;2018/2019;rosa;;1;T_5_front.jpg;T_5_back.jpg
146;LDE;SHORT VARON LISO RUSTICO;Shorts;2051;ARGENTINA ;;2018/2019;gris;;200;T_5_front.jpg;T_5_back.jpg
147;LDE;POLLERA JEANS APLIQUES ;Polleras;1887;ARGENTINA ;;2018/2019;gris;;1;T_5_front.jpg;T_5_back.jpg
148;LDE;BERMUDA DE JEANS VARON;Bermudas;1886;ARGENTINA ;;2018/2019;gris;;1;T_5_front.jpg;T_5_back.jpg
149;LDE;SHORT CHAMBRE NENA;Shorts;1894;ARGENTINA ;;2018/2019;gris;;1;T_5_front.jpg;T_5_back.jpg
150;LDE;JARDINERO VARON ESTAMPADO ;Body;2077;ARGENTINA ;;2018/2019;gris;;1;T_5_front.jpg;T_5_back.jpg
151;LDE;MEDIAS ESTAMPADAS;Medias;387;ARGENTINA ;;2018/2019;gris;;1;T_5_front.jpg;T_5_back.jpg
152;LDE;MEDIAS CALADAS;Medias;389;ARGENTINA ;;2018/2019;gris;;1;T_5_front.jpg;T_5_back.jpg
153;LDE;TOALLON PEPE;Toallones;382;ARGENTINA ;;2018/2019;gris;;1;T_5_front.jpg;T_5_back.jpg
154;LDE;BABERO CARITA;Baberos;381;ARGENTINA ;;2018/2019;gris;;1;T_5_front.jpg;T_5_back.jpg
155;LDE;BABERO ESTAMPADO UNISEX;Baberos;380;ARGENTINA ;;2018/2019;gris;;1;T_5_front.jpg;T_5_back.jpg
